0.547,0.428,0.332,0.274,0.265,0.138,0.116,0.102,0.096,0.097,0.054,0.065,0.077,0.081,0.079,2.095,4.595,9.239,14.422,15.871,1.1,1.66,2.375,2.998,3.14,0.019,0.014,0.01,0.009,0.009,0.89,0.758,0.51,0.224,0.109,1
0.588,0.467,0.367,0.298,0.239,0.135,0.114,0.098,0.088,0.082,0.061,0.074,0.09,0.099,0.101,1.669,3.624,7.321,13.134,21.325,0.962,1.458,2.092,2.81,3.634,0.018,0.013,0.01,0.008,0.007,0.944,0.878,0.753,0.555,0.285,1
0.256,0.192,0.149,0.112,0.084,0.039,0.033,0.029,0.026,0.024,0.307,0.355,0.413,0.444,0.445,17.586,37.069,71.264,128.987,218.229,3.297,4.741,6.534,8.853,11.619,0.001,0.001,0.001,0.001,0.001,0.958,0.911,0.828,0.682,0.456,1
0.495,0.406,0.335,0.288,0.254,0.114,0.1,0.09,0.084,0.081,0.084,0.097,0.108,0.112,0.109,3.097,5.813,9.792,13.844,18.814,1.333,1.834,2.396,2.88,3.366,0.013,0.01,0.008,0.007,0.007,0.902,0.815,0.685,0.549,0.384,1
0.516,0.426,0.352,0.304,0.276,0.121,0.106,0.096,0.089,0.086,0.067,0.078,0.09,0.097,0.096,2.54,4.678,7.955,12.233,16.21,1.219,1.674,2.198,2.713,3.106,0.015,0.011,0.009,0.008,0.007,0.912,0.839,0.727,0.585,0.455,1
0.491,0.394,0.324,0.278,0.25,0.121,0.104,0.094,0.088,0.087,0.066,0.076,0.085,0.09,0.09,3.001,5.766,9.814,14.205,17.805,1.329,1.87,2.453,2.97,3.337,0.015,0.011,0.009,0.008,0.008,0.868,0.746,0.567,0.369,0.199,1
0.535,0.432,0.347,0.298,0.272,0.121,0.104,0.093,0.087,0.086,0.079,0.092,0.106,0.111,0.11,2.287,4.708,8.658,13.671,17.685,1.147,1.659,2.264,2.827,3.212,0.015,0.011,0.009,0.008,0.007,0.932,0.859,0.734,0.568,0.435,1
0.515,0.391,0.3,0.245,0.213,0.109,0.09,0.077,0.071,0.068,0.077,0.093,0.112,0.123,0.122,2.588,5.997,12.195,20.469,30.351,1.227,1.899,2.725,3.539,4.292,0.012,0.008,0.006,0.005,0.005,0.935,0.848,0.689,0.474,0.217,1
0.538,0.464,0.394,0.339,0.313,0.142,0.128,0.116,0.108,0.105,0.052,0.059,0.069,0.073,0.074,2.184,3.556,5.758,8.743,11.16,1.128,1.458,1.867,2.307,2.602,0.02,0.016,0.014,0.012,0.011,0.865,0.78,0.642,0.454,0.311,1
0.604,0.52,0.457,0.4,0.345,0.152,0.135,0.123,0.114,0.106,0.049,0.056,0.064,0.068,0.069,1.473,2.455,3.836,5.835,8.571,0.904,1.2,1.505,1.86,2.276,0.023,0.018,0.015,0.013,0.011,0.916,0.86,0.781,0.665,0.513,1
0.564,0.451,0.366,0.301,0.249,0.11,0.093,0.081,0.075,0.071,0.073,0.087,0.104,0.111,0.112,1.919,4.0,7.351,11.431,16.693,1.043,1.538,2.101,2.66,3.282,0.012,0.009,0.007,0.006,0.005,0.961,0.918,0.848,0.764,0.667,1
0.531,0.425,0.332,0.268,0.205,0.082,0.069,0.059,0.052,0.046,0.122,0.143,0.171,0.19,0.196,2.588,5.213,10.132,17.998,30.011,1.181,1.716,2.421,3.218,4.278,0.007,0.005,0.003,0.003,0.002,0.982,0.963,0.929,0.874,0.793,1
0.611,0.524,0.443,0.378,0.318,0.116,0.102,0.091,0.085,0.081,0.065,0.076,0.089,0.096,0.096,1.446,2.589,4.448,7.076,11.599,0.888,1.207,1.601,2.029,2.602,0.013,0.01,0.008,0.007,0.007,0.971,0.948,0.911,0.861,0.791,1
0.588,0.498,0.416,0.363,0.337,0.158,0.14,0.126,0.119,0.117,0.051,0.059,0.066,0.068,0.07,1.645,2.953,5.043,7.19,8.648,0.957,1.306,1.735,2.093,2.301,0.025,0.02,0.016,0.014,0.014,0.897,0.814,0.681,0.541,0.445,1
0.515,0.413,0.327,0.268,0.232,0.118,0.101,0.089,0.081,0.078,0.089,0.106,0.124,0.13,0.127,2.569,5.225,10.178,17.898,26.158,1.222,1.761,2.46,3.252,3.913,0.014,0.01,0.008,0.007,0.006,0.926,0.85,0.708,0.489,0.26,1
